targetMuscle,title,src,path_url
full-body,Kettlebell Swings,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kettlebell-Swings.gif,/content/drive/MyDrive/fitness/data/Kettlebell-Swings.gif
full-body,One Arm Kettlebell Snatch,https://fitnessprogramer.com/wp-content/uploads/2021/03/One-Arm-Kettlebell-Snatch-exercise.gif,/content/drive/MyDrive/fitness/data/One-Arm-Kettlebell-Snatch.gif
full-body,Impossible Dips,https://fitnessprogramer.com/wp-content/uploads/2022/01/Impossible-Dips.gif,/content/drive/MyDrive/fitness/data/Impossible-Dips.gif
full-body,Korean Dips,https://fitnessprogramer.com/wp-content/uploads/2022/01/Korean-Dips.gif,/content/drive/MyDrive/fitness/data/Korean-Dips.gif
full-body,Straight Bar Dip,https://fitnessprogramer.com/wp-content/uploads/2022/01/Straight-Bar-Dip.gif,/content/drive/MyDrive/fitness/data/Straight-Bar-Dip.gif
full-body,Kettlebell Clean and Jerk,https://fitnessprogramer.com/wp-content/uploads/2021/06/Kettlebell-Clean-and-Jerk.gif,/content/drive/MyDrive/fitness/data/Kettlebell-Clean-and-Jerk.gif
full-body,Dumbbell Burpees,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Burpees.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Burpees.gif
full-body,Dumbbell Jump Squat,https://fitnessprogramer.com/wp-content/uploads/2022/04/Dumbbell-Jump-Squat.gif,/content/drive/MyDrive/fitness/data/Dumbbell-Jump-Squat.gif
full-body,Burpees,https://fitnessprogramer.com/wp-content/uploads/2021/02/burpees.gif,/content/drive/MyDrive/fitness/data/Burpees.gif
full-body,L-Sit Pull-Up,https://fitnessprogramer.com/wp-content/uploads/2023/06/L-Pull-Up.gif,/content/drive/MyDrive/fitness/data/L-Sit-Pull-Up.gif
full-body,Back Lever,https://fitnessprogramer.com/wp-content/uploads/2023/06/Back-Lever.gif,/content/drive/MyDrive/fitness/data/Back-Lever.gif
full-body,Front Lever Pull-up,https://fitnessprogramer.com/wp-content/uploads/2023/06/Front-Lever-Pull-up.gif,/content/drive/MyDrive/fitness/data/Front-Lever-Pull-up.gif
full-body,One Arm Dumbbell Snatch,https://fitnessprogramer.com/wp-content/uploads/2021/05/One-Arm-Dumbbell-Snatch.gif,/content/drive/MyDrive/fitness/data/One-Arm-Dumbbell-Snatch.gif
full-body,Archer Pull-up,https://fitnessprogramer.com/wp-content/uploads/2022/01/Archer-Pull-up.gif,/content/drive/MyDrive/fitness/data/Archer-Pull-up.gif
full-body,Cross Body Push-up,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cross-Body-Push-up_Plyometric.gif,/content/drive/MyDrive/fitness/data/Cross-Body-Push-up.gif
full-body,Trap Bar Jump Squat,https://fitnessprogramer.com/wp-content/uploads/2023/02/trap-bar-jump-squat.gif,/content/drive/MyDrive/fitness/data/Trap-Bar-Jump-Squat.gif
full-body,Medicine Ball-Sit-up Throw,https://fitnessprogramer.com/wp-content/uploads/2023/01/Medicine-Ball-Sit-up-Throw.gif,/content/drive/MyDrive/fitness/data/Medicine-Ball-Sit-up-Throw.gif
full-body,Barbell Jump Squat,https://fitnessprogramer.com/wp-content/uploads/2023/01/Barbell-Jump-Squat.gif,/content/drive/MyDrive/fitness/data/Barbell-Jump-Squat.gif
full-body,Handstand Walk,https://fitnessprogramer.com/wp-content/uploads/2022/12/handstand-walk.gif,/content/drive/MyDrive/fitness/data/Handstand-Walk.gif
full-body,Handstand,https://fitnessprogramer.com/wp-content/uploads/2021/02/handstand-holds.gif,/content/drive/MyDrive/fitness/data/Handstand.gif
full-body,Kettlebell Clean and Press,https://fitnessprogramer.com/wp-content/uploads/2023/06/Kettlebell-Clean-and-Press.gif,/content/drive/MyDrive/fitness/data/Kettlebell-Clean-and-Press.gif
full-body,Climbing Monkey Bars,https://fitnessprogramer.com/wp-content/uploads/2022/12/Climbing-Monkey-Bars.gif,/content/drive/MyDrive/fitness/data/Climbing-Monkey-Bars.gif
full-body,Kipping Handstand Push-up,https://fitnessprogramer.com/wp-content/uploads/2023/07/kipping-handstand-push-up.gif,/content/drive/MyDrive/fitness/data/Kipping-Handstand-Push-up.gif
full-body,Snap Jumps,https://fitnessprogramer.com/wp-content/uploads/2021/02/SNAP-JUMPS.gif,/content/drive/MyDrive/fitness/data/Snap-Jumps.gif
full-body,Barbell Thruster,https://fitnessprogramer.com/wp-content/uploads/2022/10/thruster.gif,/content/drive/MyDrive/fitness/data/Barbell-Thruster.gif
full-body,Bodyweight Skull Crushers,https://fitnessprogramer.com/wp-content/uploads/2022/02/Bodyweight-Skull-Crushers.gif,/content/drive/MyDrive/fitness/data/Bodyweight-Skull-Crushers.gif
full-body,Straddle Planche,https://fitnessprogramer.com/wp-content/uploads/2022/08/Straddle-planche.gif,
