targetMuscle,title,path_url,exercise_id,exercise_name,targetMuscles_api,secondaryMuscles_api,bodyParts_api,equipments_api,gif_url,match_score,status,search_text
abs,Side Bridge,data/Side-Bridge.gif,9c6T1YX,bridge - mountain climber (cross body),"[""abs""]","[""glutes"", ""quadriceps"", ""hamstrings"", ""shoulders"", ""triceps""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9c6T1YX.gif,76.47,matched,"bridge - mountain climber (cross body) [""abs""] [""glutes"", ""quadriceps"", ""hamstrings"", ""shoulders"", ""triceps""]"
abs,Plank With Arm And Leg Lift,data/Plank-With-Arm-And-Leg-Lift.gif,6ZCiYWQ,sit-up with arms on chest,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/6ZCiYWQ.gif,66.15,matched,"sit-up with arms on chest [""abs""] [""hip flexors""]"
abs,Weighted Front Plank,data/Weighted-Front-Plank.gif,5VXmnV5,bodyweight incline side plank,"[""abs""]","[""obliques"", ""shoulders""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/5VXmnV5.gif,68.98,matched,"bodyweight incline side plank [""abs""] [""obliques"", ""shoulders""]"
abs,Cable Side Bend,data/Cable-Side-Bend.gif,6bOA1Oi,weighted side bend (on stability ball),"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""weighted""]",https://static.exercisedb.dev/media/6bOA1Oi.gif,80.0,matched,"weighted side bend (on stability ball) [""abs""] [""obliques"", ""lower back""]"
abs,Barbell Side Bend,data/Barbell-Side-Bend.gif,6bOA1Oi,weighted side bend (on stability ball),"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""weighted""]",https://static.exercisedb.dev/media/6bOA1Oi.gif,75.38,matched,"weighted side bend (on stability ball) [""abs""] [""obliques"", ""lower back""]"
abs,Seated Barbell Twist,data/Seated-Barbell-Twist.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,70.0,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Bent Over Twist,data/Bent-Over-Twist.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,70.0,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Dumbbell V-up,data/Dumbbell-V-up.gif,2dImyQ8,dumbbell seated palms up wrist curl,"[""forearms""]","[""biceps"", ""shoulders""]","[""lower arms""]","[""dumbbell""]",https://static.exercisedb.dev/media/2dImyQ8.gif,73.33,matched,"dumbbell seated palms up wrist curl [""forearms""] [""biceps"", ""shoulders""]"
abs,Lever Lying Crunch,data/Lever-Lying-Crunch.gif,9Ap7miY,decline crunch,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9Ap7miY.gif,75.0,matched,"decline crunch [""abs""] [""hip flexors""]"
abs,Twisting Hyperextension,data/Twisting-Hyperextension.gif,225x2Vd,band kneeling twisting crunch,"[""abs""]","[""obliques""]","[""waist""]","[""band""]",https://static.exercisedb.dev/media/225x2Vd.gif,63.08,matched,"band kneeling twisting crunch [""abs""] [""obliques""]"
abs,Ab Roller Crunch,data/Ab-Roller-Crunch.gif,8xUv4J7,cable seated crunch,"[""abs""]","[""obliques""]","[""waist""]","[""cable""]",https://static.exercisedb.dev/media/8xUv4J7.gif,70.29,matched,"cable seated crunch [""abs""] [""obliques""]"
abs,Standing Cable High-To-Low Twist,data/Standing-Cable-High-To-Low-Twist.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,70.0,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Standing Cable Low-To-High Twist,data/Standing-Cable-Low-To-High-Twist.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,70.0,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Standing Cable Twist,data/Standing-Cable-Twist.gif,8gQo5Ss,single style cable standing crunch (with rope attachment),"[""abs""]","[""obliques""]","[""waist""]","[""cable""]",https://static.exercisedb.dev/media/8gQo5Ss.gif,85.88,matched,"single style cable standing crunch (with rope attachment) [""abs""] [""obliques""]"
abs,L-Sit,data/L-Sit.gif,1GPHRyK,janda sit-up,"[""abs""]","[""hip flexors"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/1GPHRyK.gif,80.0,matched,"janda sit-up [""abs""] [""hip flexors"", ""lower back""]"
abs,High Knee Squat,data/High-Knee-Squat.gif,75Bgtjy,potty squat,"[""abs""]","[""quadriceps"", ""glutes""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/75Bgtjy.gif,70.0,matched,"potty squat [""abs""] [""quadriceps"", ""glutes""]"
abs,Kettlebell Windmill,data/Kettlebell-Windmill.gif,9Tkqa9O,kettlebell windmill,"[""abs""]","[""obliques"", ""shoulders""]","[""waist""]","[""kettlebell""]",https://static.exercisedb.dev/media/9Tkqa9O.gif,100.0,matched,"kettlebell windmill [""abs""] [""obliques"", ""shoulders""]"
abs,Kettlebell Swings,data/Kettlebell-Swings.gif,9Tkqa9O,kettlebell windmill,"[""abs""]","[""obliques"", ""shoulders""]","[""waist""]","[""kettlebell""]",https://static.exercisedb.dev/media/9Tkqa9O.gif,82.22,matched,"kettlebell windmill [""abs""] [""obliques"", ""shoulders""]"
abs,Full Crunch Machine,data/Full-Crunch-Machine.gif,9Ap7miY,decline crunch,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9Ap7miY.gif,73.33,matched,"decline crunch [""abs""] [""hip flexors""]"
abs,Front Plank with Arm Lift,data/Front-Plank-with-Arm-Lift.gif,6ZCiYWQ,sit-up with arms on chest,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/6ZCiYWQ.gif,71.2,matched,"sit-up with arms on chest [""abs""] [""hip flexors""]"
abs,Bhujangasana | Cobra Abdominal Stretch,data/Bhujangasana-|-Cobra-Abdominal-Stretch.gif,8K0w2yA,assisted hanging knee raise with throw down,"[""abs""]","[""hip flexors"", ""lower back""]","[""waist""]","[""assisted""]",https://static.exercisedb.dev/media/8K0w2yA.gif,55.56,matched,"assisted hanging knee raise with throw down [""abs""] [""hip flexors"", ""lower back""]"
abs,Ab Straps Leg Raise,data/Ab-Straps-Leg-Raise.gif,4Ml7QFO,hanging straight leg raise,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/4Ml7QFO.gif,76.89,matched,"hanging straight leg raise [""abs""] [""hip flexors""]"
abs,Boat Pose,data/Boat-Pose.gif,196HJGw,hip raise (bent knee),"[""abs""]","[""glutes"", ""hamstrings""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/196HJGw.gif,52.0,matched,"hip raise (bent knee) [""abs""] [""glutes"", ""hamstrings""]"
abs,Seated Twist Machine,data/Seated-Twist-Machine.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,70.0,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Inchworm,data/Inchworm.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,45.26,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Front Plank With Arm And Leg Lift,data/Front-Plank-With-Arm-And-Leg-Lift.gif,6ZCiYWQ,sit-up with arms on chest,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/6ZCiYWQ.gif,64.14,matched,"sit-up with arms on chest [""abs""] [""hip flexors""]"
abs,Weighted Lying Twist,data/Weighted-Lying-Twist.gif,2jl9K55,spine twist,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/2jl9K55.gif,70.0,matched,"spine twist [""abs""] [""obliques"", ""lower back""]"
abs,Swiss Ball Rollout,data/Swiss-Ball-Rollout.gif,7M66AVi,barbell rollerout,"[""abs""]","[""lower back""]","[""waist""]","[""barbell""]",https://static.exercisedb.dev/media/7M66AVi.gif,74.86,matched,"barbell rollerout [""abs""] [""lower back""]"
abs,Weighted Side Bend On Stability Ball,data/Weighted-Side-Bend-On-Stability-Ball.gif,6bOA1Oi,weighted side bend (on stability ball),"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""weighted""]",https://static.exercisedb.dev/media/6bOA1Oi.gif,91.35,matched,"weighted side bend (on stability ball) [""abs""] [""obliques"", ""lower back""]"
abs,Stability Ball V-Up,data/Stability-Ball-V-Up.gif,1IG6gVF,prone twist on stability ball,"[""abs""]","[""obliques"", ""lower back""]","[""waist""]","[""stability ball""]",https://static.exercisedb.dev/media/1IG6gVF.gif,87.88,matched,"prone twist on stability ball [""abs""] [""obliques"", ""lower back""]"
abs,Exercise Ball Frog Crunch,data/Exercise-Ball-Frog-Crunch.gif,9Ap7miY,decline crunch,"[""abs""]","[""hip flexors""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/9Ap7miY.gif,68.0,matched,"decline crunch [""abs""] [""hip flexors""]"
abs,Cable Seated Cross Arm Twist,data/Cable-Seated-Cross-Arm-Twist.gif,8xUv4J7,cable seated crunch,"[""abs""]","[""obliques""]","[""waist""]","[""cable""]",https://static.exercisedb.dev/media/8xUv4J7.gif,81.94,matched,"cable seated crunch [""abs""] [""obliques""]"
abs,Burpees,data/Burpees.gif,196HJGw,hip raise (bent knee),"[""abs""]","[""glutes"", ""hamstrings""]","[""waist""]","[""body weight""]",https://static.exercisedb.dev/media/196HJGw.gif,48.57,matched,"hip raise (bent knee) [""abs""] [""glutes"", ""hamstrings""]"
